County FIPS,Total Population 2055,Affected Population 2055,Total Population 2080,Affected Population 2080,Total Population 2100,Affected Population 2100,
39003,143608.484576,0.000000,164372.100257,0.000000,181007.206699,0.000000,
39005,73586.241780,0.000000,84849.731695,0.000000,93860.130215,0.000000,
39007,134287.355999,0.000000,152650.314825,0.000000,167349.814592,0.000000,
39009,85516.627084,0.000000,97089.955362,0.000000,106352.731285,0.000000,
39011,63726.695027,0.000000,73611.909564,0.000000,81520.092972,0.000000,
39013,83135.114744,0.000000,90428.296220,0.000000,96325.052795,0.000000,
39015,64727.070230,0.000000,75750.751936,0.000000,84571.680226,0.000000,
39017,555151.677775,0.000000,659465.456468,0.000000,742972.351198,0.000000,
39019,41350.678726,0.000000,48266.077031,0.000000,53798.395675,0.000000,
39021,55044.541259,0.000000,63329.356063,0.000000,69960.272668,0.000000,
39023,192414.545063,0.000000,222640.035520,0.000000,246867.440551,0.000000,
39025,312861.073629,0.000000,377089.971673,0.000000,428473.284197,0.000000,
39027,58371.582089,0.000000,67520.486161,0.000000,74844.370344,0.000000,
39029,141321.404755,0.000000,159915.770868,0.000000,174813.745114,0.000000,
39031,48856.638770,0.000000,55621.296386,0.000000,61043.525197,0.000000,
39033,57960.493293,0.000000,65792.617433,0.000000,72065.522370,0.000000,
39035,1697930.617814,0.000000,1933914.519796,0.000000,2123753.233438,0.000000,
39037,69995.019607,0.000000,79536.770810,0.000000,87174.743901,0.000000,
39039,54388.975819,0.000000,62872.379159,0.000000,69659.101832,0.000000,
39041,260770.672791,0.000000,308736.955436,0.000000,347109.981552,0.000000,
39043,109221.598084,0.000000,126871.509128,0.000000,140999.227235,0.000000,
39045,216732.123839,0.000000,255780.097036,0.000000,287023.391642,0.000000,
39047,38607.774619,0.000000,43977.980186,0.000000,48279.985129,0.000000,
39049,1787167.581276,0.000000,2134130.278046,0.000000,2411886.587714,0.000000,
39051,59921.291882,0.000000,69407.792433,0.000000,76996.992874,0.000000,
39053,44199.004041,0.000000,51549.623190,0.000000,57441.150134,0.000000,
39055,144798.387065,0.000000,173569.760230,0.000000,196586.858762,0.000000,
39057,246210.794724,0.000000,293140.583766,0.000000,330686.665072,0.000000,
