County FIPS,Total Population 2042,Affected Population 2042,Total Population 2059,Affected Population 2059,Total Population 2071,Affected Population 2071,Total Population 2082,Affected Population 2082,Total Population 2091,Affected Population 2091,Total Population 2100,Affected Population 2100,
19161,10731.519186,0.000000,10936.331005,0.000000,11086.233594,0.000000,11226.762143,0.000000,11343.633937,0.000000,11461.997185,0.000000,
19163,217838.642336,0.000000,245804.952538,0.000000,265563.113242,0.000000,283684.845133,0.000000,298517.843177,0.000000,313355.666442,0.000000,
19165,13539.923294,0.000000,14279.381431,0.000000,14804.063481,0.000000,15286.603080,0.000000,15682.366286,0.000000,16078.882451,0.000000,
19167,40263.669025,0.000000,43770.633342,0.000000,46248.222754,0.000000,48520.571699,0.000000,50380.513005,0.000000,52241.043963,0.000000,
19169,116439.165264,0.000000,130921.305002,0.000000,141144.810468,0.000000,150516.840042,0.000000,158185.159341,0.000000,165853.712217,0.000000,
19171,19297.244164,0.000000,20134.319869,0.000000,20728.558402,0.000000,21275.248669,0.000000,21723.740567,0.000000,22173.178851,0.000000,
19173,5993.334399,0.000000,5851.721300,0.000000,5764.823837,0.000000,5692.748834,0.000000,5638.356432,0.000000,5587.551553,0.000000,
19175,13682.218558,0.000000,14276.040704,0.000000,14699.967899,0.000000,15091.355668,0.000000,15413.277224,0.000000,15736.534934,0.000000,
19177,7688.629191,0.000000,7746.174857,0.000000,7793.863851,0.000000,7841.717887,0.000000,7883.387188,0.000000,7927.039014,0.000000,
19179,39531.792110,0.000000,41639.125409,0.000000,43152.117354,0.000000,44553.795726,0.000000,45709.540036,0.000000,46872.270313,0.000000,
19181,61302.865060,0.000000,69342.174913,0.000000,75016.981868,0.000000,80218.888244,0.000000,84474.993460,0.000000,88731.098676,0.000000,
19183,25312.180008,0.000000,27242.282018,0.000000,28605.773047,0.000000,29856.269199,0.000000,30879.787245,0.000000,31903.610031,0.000000,
19185,6097.981433,0.000000,5975.663253,0.000000,5899.822196,0.000000,5836.419281,0.000000,5788.249524,0.000000,5742.990531,0.000000,
19187,43581.907169,0.000000,46653.717836,0.000000,48834.356938,0.000000,50840.453983,0.000000,52486.157985,0.000000,54135.283720,0.000000,
19189,12531.027011,0.000000,13430.235441,0.000000,14066.860558,0.000000,14651.544221,0.000000,15130.598658,0.000000,15610.187656,0.000000,
19191,24139.165388,0.000000,25760.931004,0.000000,26907.799471,0.000000,27960.325366,0.000000,28822.232380,0.000000,29684.731230,0.000000,
19193,118334.154798,0.000000,126888.320409,0.000000,132970.730950,0.000000,138571.953481,0.000000,143170.299740,0.000000,147780.827764,0.000000,
19195,8079.193508,0.000000,8334.230120,0.000000,8515.289700,0.000000,8681.870623,0.000000,8818.536588,0.000000,8955.497327,0.000000,
19197,14221.053401,0.000000,14748.712893,0.000000,15125.796635,0.000000,15474.171669,0.000000,15760.860764,0.000000,16048.857042,0.000000,
20001,14251.823594,0.000000,14779.756058,0.000000,15164.002290,0.000000,15522.954831,0.000000,15820.707310,0.000000,16121.646014,0.000000,
